Subtitle Block,label,score
"Yeah, I know how you feel.",approval,0.6176589727401733
I'm up for rejection next week.,disappointment,0.5871114134788513
"Yeah, I got rejected last week.",disappointment,0.7766929268836975
It happens.,neutral,0.7292950749397278
"Hey, Red, bump me a deck.",neutral,0.9383584260940552
"Get out of my face, man!You're into me for five packs already.",anger,0.6858378052711487
-Four!-Five!,neutral,0.9632172584533691
There must be a con like mein every prison in America.,neutral,0.899746298789978
I'm the guy who can get it for you.,caring,0.47941264510154724
"Cigarettes, a bag of reefer,if that's your thing...",neutral,0.9567666053771973
...a bottle of brandy to celebrateyour kid's high school graduation.,neutral,0.41894739866256714
Damn near anything within reason.,neutral,0.9017825722694397
"Yes, sir.I'm a regular Sears and Roebuck.",approval,0.6702739000320435
So when Andy Dufresnecame to me in 1949...,neutral,0.9421993494033813
...and asked me to smuggleRita Hayworth into the prison for him...,neutral,0.9573357105255127
"...I told him, ""No problem.""",neutral,0.9133251905441284
Officersto main gate. Officers to main gate.,neutral,0.968131959438324
Secure main gate.,neutral,0.9681165814399719
Andy came to Shawshank Prison...,neutral,0.967535674571991
...in early 1947 for murdering his wifeand the fella she was banging.,neutral,0.8447021842002869
"On the outside, he'd been vice presidentof a large Portland bank.",neutral,0.9073525667190552
Good work for a man so young.,admiration,0.9411669373512268
"Hey, Red.",neutral,0.901099443435669
"You speak English, butt-steak?",curiosity,0.5064093470573425
You follow this officer.,neutral,0.9539027214050293
I never seen such a sorry-lookingheap of maggot shit in all my life.,sadness,0.3592289090156555
"Hey, fish! Come over here!",neutral,0.9178027510643005
"Taking bets today, Red?",neutral,0.7481089234352112
Smokes or coin? Bettor's choice.,neutral,0.8300195932388306
Smokes. Put me down for two.,neutral,0.932736337184906
"All right, who's your horse?",curiosity,0.5882529616355896
That little sack of shit.,anger,0.4591066837310791
"-Eighth. Eighth from the front. He'll be first.-Oh, bullshit! I'll take that action.",annoyance,0.5846773386001587
"-Yeah, me too.-You're out some smokes, son.",neutral,0.9294513463973999
"If you're so smart, you call it.",neutral,0.587693989276886
I'll take the chubby fat-ass there.,neutral,0.9222593307495117
The fifth one.Put me down for a quarter deck.,neutral,0.9672315716743469
Fresh Fish!,neutral,0.9070562720298767
Fresh fish today!,neutral,0.7218772172927856
We're reeling them in!,neutral,0.9669392704963684
I admit I didn't think much of Andyfirst time I laid eyes on him.,approval,0.38456371426582336
Looked like a stiff breezewould blow him over.,neutral,0.9583763480186462
That was my first impression of the man.,neutral,0.7347895503044128
What do you say?,neutral,0.7152501344680786
That tall drink of waterwith the silver spoon up his ass.,neutral,0.9080910086631775
That guy? Never happen.,disapproval,0.49169957637786865
-Ten cigarettes.-That's a rich bet.,neutral,0.7591058611869812
Who's going to prove me wrong?,confusion,0.5413148403167725
Heywood? Jigger?,neutral,0.7009168267250061
Skeets?,neutral,0.8248995542526245
Floyd!,neutral,0.9570736289024353
Four brave souls.,admiration,0.9025059938430786
Return to yourcellblocks for evening count.,neutral,0.9698147773742676
"All prisoners, return to your cellblocks.",neutral,0.954596221446991
Turn to the right! Eyes front.,neutral,0.9358687400817871
This is Mr. Hadley.He's captain of the guards.,neutral,0.9221330881118774
"I'm Mr. Norton, the warden.",neutral,0.9555436968803406
You are convicted felons.,neutral,0.8010409474372864
That's why they've sent you to me.,neutral,0.9459235668182373
Rule number one:,neutral,0.9704892039299011
No blasphemy.,neutral,0.6478592753410339
I'll not have the Lord's nametaken in vain in my prison.,neutral,0.6394166350364685
The other rules...,neutral,0.9616004228591919
...you'll figure out as you go along.Any questions?,curiosity,0.5811724662780762
When do we eat?,curiosity,0.5644659996032715
You eat when we say you eat.,neutral,0.9324658513069153
"You shit when we say you shit,and piss when we say you piss.",annoyance,0.4358200132846832
"You got that,you maggot-dick motherfucker?",anger,0.7749608159065247
On your feet.,neutral,0.9658370018005371
I believe in two things:,approval,0.5813068151473999
Discipline and the Bible.,neutral,0.9656539559364319
"Here, you'll receive both.",neutral,0.9636803269386292
Put your trust in the Lord.,caring,0.6362403631210327
Your ass belongs to me.,neutral,0.5163904428482056
Welcome to Shawshank.,gratitude,0.7208849787712097
Unhook them.,neutral,0.9663856029510498
Turn around.,neutral,0.9434469938278198
That's enough.,approval,0.6226828694343567
Move to the end of the cage.,neutral,0.9671921133995056
Turn around. Delouse him.,neutral,0.9637820720672607
Turn around.,neutral,0.9434469938278198
Move out of the cage.Pick up your clothes and Bible.,neutral,0.9395963549613953
Next man up!,neutral,0.9630305767059326
To the right. Right. Right. Right.,neutral,0.6567229628562927
Left. Left.,neutral,0.9672706127166748
The first night's the toughest.No doubt about it.,neutral,0.2543233335018158
They march you innaked as the day you were born...,neutral,0.965735912322998
...skin burning and half-blindfrom that delousing shit.,neutral,0.6797695755958557
And when they put you in that cell...,neutral,0.9646157026290894
...and those bars slam home...,neutral,0.9642319679260254
...that's when you know it's for real.,realization,0.542456328868866
Old life blown awayin the blink of an eye.,neutral,0.7629411220550537
Nothing left but all the timein the world to think about it.,neutral,0.9419596791267395
Most new fish come close to madnessthe first night.,neutral,0.9354432821273804
Somebody always breaks down crying.,sadness,0.8590582013130188
Happens every time.,neutral,0.7490531206130981
The only question is...,neutral,0.9603898525238037
...who's it going to be?,curiosity,0.5802929997444153
"It's as good a thingto bet on as any, I guess.",admiration,0.7307958006858826
I had my money on Andy Dufresne.,neutral,0.9689415097236633
Lights out!,neutral,0.953534722328186
I remember my first night.,realization,0.47843119502067566
Seems like a long time ago.,realization,0.42985057830810547
"Hey, fish.",neutral,0.9187721014022827
"Fish, fish, fish, fish, fishy.",neutral,0.95756995677948
"What are you, scared of the dark?",fear,0.5912995338439941
Bet you wish your daddynever dicked your mama!,neutral,0.6860055923461914
"Piggy! Pork! I want me a pork chop.Oh, yes!",desire,0.41406387090682983
"Poke your ass out, give me a first look!",neutral,0.8240454792976379
Shh! Keep it down.,neutral,0.8024682998657227
The boys always go fishingwith first-timers.,neutral,0.9235912561416626
And they don't quittill they reel someone in.,neutral,0.9444000720977783
"Hey, Fat Ass.",neutral,0.6889594197273254
Fat Ass!,neutral,0.6699876189231873
"Talk to me, boy.",neutral,0.9076204895973206
I know you're there.I can hear you breathing.,neutral,0.7457455396652222
"Don't you listen to these nitwits,you hear me?",neutral,0.524725079536438
This place ain't so bad.,approval,0.6542572975158691
Tell you what...,neutral,0.9125752449035645
"...I'll introduce you around,make you feel right at home.",neutral,0.8751446604728699
I know a couple ofbig old bull queers that'd just...,neutral,0.9594624638557434
...love to make your acquaintance.,love,0.9536585807800293
"Especially that big, white,mushy butt of yours.",neutral,0.7799155712127686
God!,neutral,0.748799741268158
I don't belong here!,disapproval,0.6973429322242737
-We have a winner!-I want to go home!,desire,0.48066747188568115
And it's Fat Ass by a nose!,neutral,0.9156986474990845
Fresh fish!Fresh fish! Fresh fish!,neutral,0.7851269245147705
I don't belong here.,disapproval,0.7206039428710938
I want to go home!,desire,0.7553658485412598
I want my mother!,desire,0.7665529251098633
I had your mother!She wasn't that great!,disappointment,0.5589063763618469
What the Christ is this horseshit?,curiosity,0.6561092138290405
He blasphemed.I'll tell the warden.,neutral,0.6244971752166748
-You'll tell him with my baton up your ass!-You gotta let me out!,neutral,0.9190059304237366
"What is your malfunction,you fat barrel of monkey spunk?",curiosity,0.6625547409057617
Please! I ain't supposed to be here.,disapproval,0.49472081661224365
Not me!,neutral,0.8021725416183472
I won't count to three. Not even to one.,disapproval,0.5874844193458557
"You will shut up,or I'll sing you a lullaby!",anger,0.480400025844574
"-Shut up, man. Shut up!-There's been a mistake.",anger,0.6995644569396973
You don't understand.I'm not supposed to be here.,disapproval,0.575356662273407
Open that cell.,neutral,0.965893030166626
Me neither! They run this placelike a fucking prison!,anger,0.6380835175514221
Son of a bitch!,anger,0.7949066758155823
"Captain, take it easy!",caring,0.790856122970581
If I hear so much as a mouse fartin here tonight...,neutral,0.8930802345275879
"...I swear by God and Jesus,you will all visit the infirmary.",neutral,0.9372365474700928
Every last motherfucker in here.,anger,0.8035904765129089
Call the trustees. Take thattub of shit down to the infirmary.,annoyance,0.4726419448852539
"His first night in the joint,Dufresne cost me two packs of cigarettes.",neutral,0.9185638427734375
He never made a sound.,neutral,0.949204683303833
"Tier 3 north, clear count!",neutral,0.7059586048126221
"-Tier 2 north, clear.-Tier 2 south, clear.",neutral,0.9623618721961975
"-Tier 3 south, clear.-Tier 1 north, clear.",neutral,0.9634960293769836
"-Tier 1 south, clear.-Tier 4 south, clear.",neutral,0.9608790874481201
Prepare to roll out.,neutral,0.9653388261795044
Roll out!,neutral,0.9705142378807068
Are you going to eat that?,curiosity,0.6540787220001221
I hadn't planned on it.,neutral,0.48268628120422363
Do you mind?,curiosity,0.6563685536384583
That's nice and ripe.,admiration,0.8882418274879456
Jake says thank you.,gratitude,0.9845319390296936
Fell out of his nestover by the plate shop.,neutral,0.9685700535774231
I'm going to look after himuntil he's big enough to fly.,caring,0.7688578367233276
"Oh, no, no! Here he comes.",surprise,0.5323927402496338
"Morning, fellas.",neutral,0.8811948299407959
"Fine morning, isn't it?",curiosity,0.5315320491790771
"You know why it's a fine morning,don't you?",curiosity,0.3356876075267792
"Come on, send them down.I want them all lined up...",neutral,0.8227805495262146
...just like a pretty littlechorus line.,neutral,0.7994589805603027
"Yeah, look at that.",neutral,0.5969744920730591
"-I can't stand this guy.-Oh, Lord!",annoyance,0.3312232494354248
"Yes! Richmond, Virginia.",neutral,0.5521359443664551
Smell my ass!,disgust,0.4703259766101837
After he smells mine.,neutral,0.967500627040863
"Gee, Red, that's a shame about your horsecoming in last and all.",disappointment,0.535625696182251
"But I sure do lovethat winning horse of mine, though.",love,0.9379515051841736
I believe I owe that boy a great bigsloppy kiss when I see him.,love,0.47182580828666687
Why don't you give him some of yourcigarettes instead? Lucky fuck!,annoyance,0.2926877439022064
"Hey, Tyrell.",neutral,0.9427894949913025
You pull infirmary duty this week?,curiosity,0.6175374984741211
How's that horse of mine doing anyway?,curiosity,0.6419579386711121
Dead.,neutral,0.884110152721405
Hadley busted his head up pretty good.,neutral,0.8825704455375671
Doc had gone home for the night.,neutral,0.9651131629943848
Poor bastard lay theretill this morning.,sadness,0.5400579571723938
"By then, there wasn't nothingwe could do.",neutral,0.4990798532962799
What was his name?,curiosity,0.5905311107635498
What'd you say?,neutral,0.5954316854476929
I was just wonderingif anyone knew his name.,surprise,0.5967434048652649
"What the fuck do you care, new fish?",anger,0.8105209469795227
Doesn't fucking matterwhat his name was. He's dead.,anger,0.6370354294776917
Hey.,neutral,0.9296141862869263
Anybody come at you yet?,neutral,0.5878143310546875
Anybody get to you yet?,curiosity,0.5739091038703918
"Hey, we all need friends in here.",neutral,0.6069112420082092
I could be a friend to you.,neutral,0.8591840267181396
Hey.,neutral,0.9296141862869263
Hard to get.,disappointment,0.6802734136581421
I like that.,love,0.8865865468978882
Andy kept pretty muchto himself at first.,neutral,0.9397202134132385
I guess he had a lot on his mind...,neutral,0.9244462251663208
...trying to adaptto life on the inside.,neutral,0.9520652890205383
Wasn't until a month went bythat he finally opened his mouth...,neutral,0.763322651386261
...to say more than two wordsto somebody.,neutral,0.9611493945121765
As it turned out...,neutral,0.6943047642707825
...that somebody was me.,neutral,0.9694217443466187
"Officers Russelland Berwell, report to duty officer.",neutral,0.9677317142486572
"Russell and Berwell, report to...",neutral,0.9690189361572266
I'm Andy Dufresne.,neutral,0.9541469216346741
Wife-killing banker.,neutral,0.8799940943717957
Why'd you do it?,curiosity,0.5765829682350159
"I didn't, since you ask.",neutral,0.7373461723327637
You're going to fit right in.,approval,0.6764455437660217
Everybody in here's innocent.Didn't you know that?,approval,0.44840431213378906
-What you in here for?-Didn't do it. Lawyer fucked me.,anger,0.6135340332984924
Rumor has it you're a real cold fish.,neutral,0.959088921546936
You think your shit smellssweeter than most. Is that right?,curiosity,0.423052579164505
What do you think?,curiosity,0.5090883374214172
"To tell you the truth,I haven't made up my mind.",neutral,0.6453891396522522
I understand you're a manthat knows how to get things.,admiration,0.727858304977417
I'm known to locate certain thingsfrom time to time.,neutral,0.878329873085022
I wonder if you might get mea rock hammer.,curiosity,0.4485262930393219
-A what?-A rock hammer.,neutral,0.9069995284080505
-What is it and why?-What do you care?,curiosity,0.5379855036735535
"Well, if it was a toothbrush, I wouldn't ask.I'd quote a price.",neutral,0.7515531778335571
"But then a toothbrushis a non-lethal object, isn't it?",confusion,0.5739493370056152
Fair enough.,approval,0.8487911224365234
A rock hammer is aboutsix or seven inches long.,neutral,0.9625275135040283
-Looks like a miniature pickax.-Pickax?,neutral,0.8752234578132629
-For rocks.-Rocks.,neutral,0.9696808457374573
Quartz?,neutral,0.8157720565795898
Quartz.,neutral,0.9536213278770447
"And some mica, shale...",neutral,0.9691437482833862
...limestone.,neutral,0.9705519080162048
So?,neutral,0.5750207901000977
So I'm a rock hound.,admiration,0.627575159072876
At least I was in my old life.I'd like to be again on a limited basis.,desire,0.7686230540275574
Or maybe you'd like to sink your toyinto somebody's skull.,neutral,0.9418297410011292
"No, sir. No, I have no enemies here.",disapproval,0.5189694166183472
No? Wait a while.,neutral,0.6111003160476685
Word gets around.,neutral,0.901638388633728
The Sisters have takenquite a liking to you.,love,0.5825698375701904
Especially Bogs.,neutral,0.9575725793838501
Don't suppose it would help anyif I explained to them I'm not homosexual.,disapproval,0.7315853834152222
Neither are they.,neutral,0.7651071548461914
You have to be human first.They don't qualify.,neutral,0.6688160300254822
Bull queers take by force.That's all they want or understand.,neutral,0.9460112452507019
"If I were you, I'd grow eyesin the back of my head.",neutral,0.8432599306106567
"-Thanks for the advice.-Well, that's free.",gratitude,0.9887948036193848
You understand my concern.,caring,0.7307852506637573
"If there's any trouble,I won't use the rock hammer, okay?",neutral,0.37780851125717163
"Then I'd guess you want to escape.Tunnel under the wall, maybe.",neutral,0.9115478992462158
Did I miss something? What's so funny?,curiosity,0.7318119406700134
You'll understandwhen you see the rock hammer.,neutral,0.9258135557174683
What's an item like this usually go for?,curiosity,0.6562924385070801
Seven dollars in any rock-and-gem shop.,neutral,0.9679324626922607
My normal markup's 20 percent.,neutral,0.9556346535682678
But this is a specialty item.,neutral,0.899046778678894
"Risk goes up, price goes up.Let's make it an even 10 bucks.",neutral,0.7992784380912781
Ten it is.,neutral,0.9652848243713379
"Waste of money, if you ask me.",neutral,0.8898649215698242
Why's that?,curiosity,0.5192363262176514
Folks around this jointlove surprise inspections.,surprise,0.6406272649765015
"They find it, you're going to lose it.",neutral,0.9379274249076843
"If they do catch you with it,you don't know me.",neutral,0.9242937564849854
"You mention my name,we never do business again.",neutral,0.9234538078308105
Not for shoelaces or a stick of gum.Now you got that?,neutral,0.7111470699310303
I understand.,approval,0.7131538987159729
"Thank you, Mr...",gratitude,0.9885872006416321
Red.,neutral,0.9602673053741455
-Name's Red.-Red.,neutral,0.9700875282287598
Why do they call you that?,curiosity,0.48234453797340393
Maybe it's because I'm Irish.,confusion,0.48714253306388855
I could see why some of the boystook him for snobby.,neutral,0.7646751999855042
He had a quiet way about him...,neutral,0.873424232006073
...a walk and a talk that justwasn't normal around here.,neutral,0.7845361232757568
He strolled...,neutral,0.966309130191803
...like a man in the park without a careor a worry in the world.,neutral,0.8575824499130249
Like he had on an invisible coatthat would shield him from this place.,neutral,0.9278417229652405
"Yeah, I think it would be fair to say...",approval,0.7929149270057678
...I liked Andy from the start.,love,0.8885889053344727
Let's go! Some of usgot a schedule to keep.,neutral,0.9592680335044861
"Move it! Come on, move it!",neutral,0.9418858885765076
How you doing?How's the wife treating you?,curiosity,0.6633350849151611
Keep it moving.,neutral,0.9577175974845886
Red.,neutral,0.9602673053741455
Andy was right.,approval,0.8014767169952393
I finally got the joke.,joy,0.5235370993614197
It would take a man about 600 years...,neutral,0.8548390865325928
...to tunnel under the wallwith one of these.,neutral,0.9685131311416626
-Book?-Not today.,neutral,0.9333838224411011
-Book?-No.,neutral,0.8256692290306091
"Hey, Brooksie.",neutral,0.9347211122512817
Delivery for Dufresne.,neutral,0.9675452709197998
-Book?-Pass.,neutral,0.9649802446365356
Book?,neutral,0.820399820804596
"Dufresne, here's your book.",neutral,0.9588556289672852
Thanks.,gratitude,0.9890905022621155
"Dufresne, we're running low on hexite.Get on back and fetch us up some.",neutral,0.9505333304405212
This will blind you.,neutral,0.6930673122406006
"Honey, hush.",neutral,0.8536255955696106
That's it. You fight!,neutral,0.543205201625824
Better that way.,neutral,0.6759306192398071
I wish I could tell youthat Andy fought the good fight...,desire,0.745798647403717
...and the Sisters let him be.,neutral,0.9703027606010437
I wish I could tell you that...,desire,0.7970563173294067
...but prison is no fairy-tale world.,neutral,0.8620490431785583
He never said who did it.,neutral,0.9412722587585449
But we all knew.,neutral,0.7807185053825378
Things went on like that for a while.,neutral,0.7501267790794373
Prison life consists of routine...,neutral,0.7551722526550293
...and then more routine.,neutral,0.956638514995575
"Every so often, Andy would show upwith fresh bruises.",neutral,0.9603623747825623
The Sisters kept at him.,neutral,0.9684564471244812
Sometimes he was ableto fight them off.,neutral,0.9363329410552979
Sometimes not.,neutral,0.7221977710723877
And that's how it went for Andy.,neutral,0.9047338366508484
That was his routine.,neutral,0.9462394118309021
I do believe those first two yearswere the worst for him.,annoyance,0.2606457769870758
And I also believeif things had gone on that way...,neutral,0.4840688407421112
...this place would havegot the best of him.,neutral,0.4964292645454407
"But then, in the spring of 1949...",neutral,0.9237289428710938
...the powers that be decided that:,neutral,0.9675833582878113
The roof of the license-plate factoryneeds resurfacing.,neutral,0.9563897252082825
I need a dozen volunteersfor a week's work.,neutral,0.5719228982925415
As you know...,neutral,0.8099346160888672
...special detail carries with itspecial privileges.,neutral,0.763620913028717
It was outdoor detail...,neutral,0.9612555503845215
...and May is one damned fine monthto be working outdoors.,neutral,0.23920288681983948
Stay in line there.,neutral,0.9346837401390076
More than 100 menvolunteered for the job.,neutral,0.9433472752571106
"""Wallace E. Unger.",neutral,0.9687824845314026
"Ellis Redding.""",neutral,0.967593252658844
Wouldn't you know it?,curiosity,0.5010406374931335
Me and some fellows I knowwere among the names called.,neutral,0.9583709239959717
"""Andrew Dufresne.""",neutral,0.9676114916801453
It only cost usa pack of smokes per man.,neutral,0.9096894860267639
"I made my usual 20 percent, of course.",neutral,0.7424134016036987
So this big-shot lawyercalls me long-distance from Texas.,neutral,0.9569311738014221
"I say, ""Yeah?""",neutral,0.712081789970398
"He says, ""Sorry to inform you,but your brother just died.""",sadness,0.5744644403457642
-I'm sorry to hear that.-I'm not. He was an asshole.,remorse,0.25548872351646423
Ran off years ago.Figured him for dead.,neutral,0.924508273601532
"So anyway, this lawyer fellow says to me:",neutral,0.945570707321167
"""Your brother died a rich man.""Oil wells and shit. Close to a million bucks.",annoyance,0.320092111825943
-A million bucks?-Yeah.,neutral,0.543053150177002
-Incredible how lucky some assholes get.-You going to see any of that?,curiosity,0.4652729630470276
Thirty-five thousand.That's what he left me.,neutral,0.9544808864593506
-Dollars?-Yep.,neutral,0.6390019059181213
"Holy shit, that's great!That's like winning the sweepstakes.",admiration,0.9285982847213745
Isn't it?,confusion,0.5041168332099915
"Dumb-shit, what do you thinkthe government is gonna do to me?",annoyance,0.4446682035923004
Take a big wet biteout of my ass is what.,neutral,0.720820426940918
Poor Byron.,sadness,0.8431939482688904
"Terrible fucking luck, huh?Crying shame.",sadness,0.31649166345596313
Some people really got it awful.,disgust,0.8195070624351501
"Andy, are you nuts?",curiosity,0.5772227048873901
"Keep your eyes on your mop, man! Andy.",neutral,0.951887845993042
"You'll pay some tax,but you'll still end up--",neutral,0.8335864543914795
"Yeah, yeah, maybe enough to buya new car, and then what?",confusion,0.528633713722229
I got to pay tax on the car. Repair...,neutral,0.6841132044792175
"...maintenance, kids pestering youto take them for a ride all the time.",neutral,0.9299983978271484
"Then if you figure your tax wrong,you pay out of your own pocket.",neutral,0.9047836065292358
I tell you! Uncle Sam!,neutral,0.8957725167274475
He puts his hand in your shirtand squeezes your tit till it's purple.,neutral,0.9647591710090637
Andy. Andy. Andy.,neutral,0.9627977013587952
-Getting himself killed.-Keep tarring.,neutral,0.9539716839790344
Some brother. Shit!,annoyance,0.37985140085220337
Hey!,neutral,0.8101447224617004
Mr. Hadley...,neutral,0.9683800935745239
...do you trust your wife?,curiosity,0.603337824344635
"Oh, that's funny.",amusement,0.924318790435791
You'll look funniersucking my dick with no teeth.,amusement,0.9123457670211792
"What I mean is, do you thinkshe'd go behind your back?",neutral,0.565406084060669
"Step aside, Mert. This fucker'shaving himself an accident.",anger,0.6799353361129761
He'll push him off!,neutral,0.9682108759880066
"Because if you trust her, you can keep...",neutral,0.7221143841743469
"...that 35,000.",neutral,0.9660844802856445
-What did you say?-Thirty-five thousand.,neutral,0.8062160015106201
-Thirty-five thousand.-All of it.,neutral,0.9683162569999695
-All of it?-Every penny.,neutral,0.9170835018157959
You better start making sense.,neutral,0.4953111708164215
"If you want to keep it,give it to your wife.",neutral,0.9423008561134338
"The IRS allows a one-time-only giftto your spouse for up to $60,000.",neutral,0.9602110385894775
-Bullshit. Tax-free?-Tax-free.,neutral,0.5324581265449524
IRS can't touch one cent.,neutral,0.8580989241600037
"You're that smart bankerwhat killed his wife, aren't you?",admiration,0.7758108377456665
Why should I believe a smart banker?So I can end up in here with you?,curiosity,0.5898930430412292
It's perfectly legal. Go ask the IRS.They'll say the same thing.,approval,0.7949784398078918
"Actually, I feel stupid telling you this.I'm sure you would have investigated.",annoyance,0.6930332779884338
I don't need you to tell mewhere the bear shit in the buckwheat.,annoyance,0.37955838441848755
Of course not. But you do needsomeone to set up the tax-free gift for you.,disapproval,0.6258917450904846
"That'll cost you.A lawyer, for example.",neutral,0.9422862529754639
A bunch of ball-washing bastards!,anger,0.7666303515434265
I suppose I could set it up for you.That would save you some money.,optimism,0.4190824031829834
"You get the forms,I'll prepare them for you...",neutral,0.9039961695671082
...nearly free of charge.,neutral,0.9578200578689575
I'd only ask three beers apiecefor each of my coworkers.,neutral,0.9204424619674683
"""Coworkers."" That's rich, ain't it?",curiosity,0.43856874108314514
I think a man working outdoorsfeels more like a man...,neutral,0.444540411233902
...if he can have a bottle of suds.That's only my opinion...,neutral,0.9324308633804321
...sir.,neutral,0.9642810821533203
What are you jimmies staring at?,curiosity,0.6377388834953308
Let's go! Work!,neutral,0.963722825050354
And that's how it came to pass...,neutral,0.38717687129974365
...that on the second-to-lastday of the job...,neutral,0.9614655375480652
...the convict crew that tarredthe factory roof in the spring of '49...,neutral,0.9598497748374939
...wound up sitting in a rowat 10:00 in the morning...,neutral,0.9549523591995239
"...drinking icy-cold beer,courtesy of the hardest screw...",neutral,0.9552114605903625
...that ever walked a turnat Shawshank State Prison.,neutral,0.959283173084259
"Drink up while it's cold, ladies.",caring,0.8420584201812744
The colossal prick even managedto sound magnanimous.,admiration,0.7621347308158875
We sat and drank with the sunon our shoulders and felt like free men.,joy,0.5029217004776001
"Hell, we could have been tarringthe roof of one of our own houses.",neutral,0.774010181427002
We were the lords of all creation.,neutral,0.3300093710422516
As for Andy...,neutral,0.9673205614089966
